,index,STATE,ZIPCODE,N2,A02650,Total Income per Individual,lng,lat
223,6885,IN,46409,5310.0,81453.0,15.33954802259887,-87.32422,41.54828
224,636,AZ,85009,39210.0,601657.0,15.34447844937516,-112.12661,33.44457
225,6995,IN,46803,7810.0,119906.0,15.352880921895006,-85.08532,41.06972
226,23435,TX,76119,42760.0,656683.0001,15.357413472871842,-97.26176,32.69026
227,23431,TX,76115,19050.0,292576.0001,15.358320215223097,-97.33117,32.67861
228,13563,MO,64128,8990.0,138109.0,15.362513904338153,-94.53484,39.06555
229,9181,KY,41655,500.0,7682.0002,15.3640004,-82.72465,37.50496
230,13274,MO,63140,190.0,2920.0001,15.36842157894737,-90.32399,38.73929
231,804,AZ,85607,16580.0,254950.0001,15.376960199034983,-109.34052,31.49008
232,1414,CA,90003,62560.0,962492.0,15.385102301790281,-118.27368,33.96409
233,15733,NM,87317,1410.0,21708.0002,15.395744822695034,-108.75244,35.58024
234,8598,KS,67341,470.0,7238.0003,15.400000638297872,-95.42963,37.34406
235,24089,TX,78211,26020.0,401367.0,15.42532667179093,-98.56327,29.34644
236,13241,MO,63107,6330.0,97660.0,15.428120063191153,-90.21201,38.66373
237,23724,TX,77033,24620.0,380256.0,15.445004061738423,-95.33801,29.66801
238,8981,KY,40845,240.0,3709.0002,15.4541675,-83.51755,36.79899
239,6812,IN,46218,24670.0,381366.0,15.458694770976894,-86.09958,39.80713
240,5915,IL,61104,12890.0,199369.0,15.466951124903026,-89.07911,42.25186
241,9085,KY,41204,350.0,5415.0002,15.471429142857144,-82.6843,37.81784
242,24432,TX,79107,26590.0,411439.0,15.47344866491162,-101.7946,35.23119
243,26412,WV,25119,420.0,6500.0002,15.476190952380954,-81.27494,38.03362
244,24049,TX,78076,10970.0,169914.0,15.488969917958068,-99.13382,26.93149
245,23730,TX,77039,24060.0,372899.0001,15.49871155860349,-95.34137,29.90923
246,23717,TX,77026,18660.0,289243.0,15.50069667738478,-95.32934,29.80013
247,23142,TX,75253,21920.0,340022.0,15.511952554744525,-96.61171,32.67278
248,90,AL,35207,5920.0,91837.0,15.513006756756758,-86.8223,33.5682
249,9186,KY,41669,410.0,6362.0002,15.517073658536587,-82.71469,37.33375
250,3354,CT,6120,9020.0,139988.0,15.519733924611973,-72.66523,41.78944
251,12850,MS,38664,2540.0,39458.0001,15.534645708661417,-90.33217,34.80434
252,5102,GA,31648,790.0,12273.0001,15.53544316455696,-83.00838,30.70834
253,12983,MS,39086,1530.0,23777.0001,15.540522941176471,-90.75964,31.96275
254,24587,TX,79905,19960.0,310296.0001,15.545891788577155,-106.42523,31.76665
255,11946,MI,49788,2590.0,40276.0,15.55057915057915,-84.46779,46.26418
256,8986,KY,40868,510.0,7934.0002,15.556863137254902,-83.41638,37.09367
257,133,AL,35464,370.0,5757.0001,15.55945972972973,-88.14383,32.78369
258,26347,WV,24892,690.0,10743.0002,15.569565507246377,-81.69699,37.31691
259,20878,PA,16802,150.0,2337.0001,15.580000666666669,-77.86481,40.79867
260,6930,IN,46613,9760.0,152122.0,15.586270491803278,-86.264,41.65389
261,11334,MI,48342,13580.0,211986.0,15.610162002945508,-83.27591,42.64389
262,24192,TX,78516,30150.0,470876.0,15.617777777777778,-98.11977,26.14256
263,14341,NE,68071,1850.0,28899.0002,15.621081189189189,-96.47446,42.23605
264,23883,TX,77506,29200.0,456399.0001,15.630102743150685,-95.19018,29.71786
265,8854,KY,40170,310.0,4847.0002,15.635484516129033,-86.49607,37.96479
266,8996,KY,40935,1530.0,23928.0001,15.639215751633987,-83.71264,36.91107
267,26325,WV,24736,470.0,7354.0003,15.64680914893617,-81.29589,37.45045
268,8273,KS,66101,9350.0,146306.0,15.647700534759359,-94.62592,39.11871
269,11274,MI,48204,14560.0,227904.0,15.652747252747252,-83.14286,42.36582
270,9120,KY,41385,480.0,7515.0002,15.656250416666667,-83.33665,37.64998
271,12826,MS,38621,1030.0,16136.0001,15.666019514563105,-90.1731,34.4528
272,18877,OH,44307,5110.0,80055.0,15.666340508806263,-81.546,41.07049
273,886,AZ,86044,2760.0,43255.0001,15.672101485507245,-110.82626,36.75137
274,6882,IN,46406,6500.0,102038.0,15.698153846153847,-87.40804,41.6022
275,14349,NE,68110,6920.0,108639.0,15.6992774566474,-95.91143,41.29867
276,657,AZ,85035,45220.0,710246.0,15.706457319770013,-112.19538,33.47167
277,4054,FL,33142,43960.0,690903.0,15.716628753412193,-80.25517,25.80665
278,9193,KY,41723,780.0,12269.0002,15.729487435897436,-83.31409,37.25469
279,655,AZ,85033,51290.0,806781.0,15.729791382335739,-112.21193,33.49443
280,6714,IN,46016,13160.0,207011.0,15.73031914893617,-85.68152,40.09781
281,653,AZ,85031,27320.0,429772.0,15.73103953147877,-112.16835,33.49491
282,1289,AR,72639,400.0,6294.0002,15.735000500000002,-92.48937,36.01948
283,1835,CA,92309,540.0,8498.0002,15.737037407407408,-116.15578,35.24942
284,2178,CA,93648,14790.0,232876.0,15.745503718728871,-119.52062,36.6206
285,13013,MS,39169,2070.0,32603.0001,15.7502415942029,-90.29371,33.13515
286,2043,CA,93235,4030.0,63506.0,15.758312655086849,-119.22314,36.38507
287,12837,MS,38643,1490.0,23485.0001,15.761745033557048,-90.26281,34.15082
288,8992,KY,40914,460.0,7257.0002,15.77608739130435,-83.56154,37.0932
289,1828,CA,92283,2290.0,36154.0001,15.787772969432313,-114.79462,32.83741
290,16950,NY,13603,10350.0,163404.0,15.787826086956521,-75.79765,44.03826
291,9002,KY,40958,340.0,5369.0002,15.79117705882353,-83.5878,36.8088
292,8870,KY,40212,12160.0,192025.0,15.791529605263158,-85.80256,38.26787
293,19002,OH,44704,2850.0,45007.0001,15.791929859649121,-81.34329,40.80001
294,9005,KY,40972,880.0,13903.0001,15.798863749999999,-83.60692,37.24501
295,26333,WV,24823,230.0,3634.0,15.8,-81.74105,37.66761
296,13394,MO,63633,500.0,7904.0002,15.808000400000001,-91.01082,37.41993
297,24204,TX,78557,16060.0,254061.0001,15.819489420921544,-98.25118,26.10844
298,17887,NC,28386,4870.0,77047.0,15.820739219712525,-79.12984,34.85889
299,17171,NY,14212,9880.0,156321.0,15.821963562753037,-78.81957,42.89438
300,9692,LA,70807,10570.0,167356.0,15.833112582781457,-91.2068,30.5425
301,22655,TN,37715,570.0,9030.0002,15.842105614035088,-83.95894,36.55323
302,26548,WV,25632,320.0,5074.0,15.85625,-81.9368,37.76292
303,15495,NJ,8105,23250.0,368686.0,15.857462365591397,-75.09107,39.95174
304,26399,WV,25075,440.0,6980.0002,15.863636818181819,-81.42915,38.0526
305,3736,FL,32254,11360.0,180240.0,15.866197183098592,-81.73549,30.34164
306,22390,SD,57770,4400.0,69904.0,15.887272727272727,-102.6258,43.07579
307,15691,NM,87026,2970.0,47213.0001,15.896633030303029,-107.17556,34.97119
308,23723,TX,77032,10960.0,174279.0001,15.901368622262774,-95.34004,29.96523
309,2039,CA,93223,9820.0,156198.0,15.906109979633401,-119.20789,36.30117
310,5119,GA,31743,400.0,6373.0001,15.93250025,-84.00604,31.90089
311,26428,WV,25161,390.0,6214.0003,15.933334102564102,-81.3189,38.06123
312,4170,FL,33476,5390.0,85894.0,15.935807050092764,-80.65305,26.80109
313,21670,PA,19602,15050.0,239908.0,15.940730897009967,-75.91701,40.32695
314,13247,MO,63113,7990.0,127384.0,15.942928660826032,-90.2475,38.65797
